,order_id,uuid_x,customer_id,created_at,updated_at,location_id,location_table_id,notes,status,total,order_method,order_number,sub_total,expires_at,delivery_fee,is_reported,report_message,address_id,delivery_date,status_class,id,uuid_y,action_at,admin_id,comment,action_type,order_seconds
0,1,cl284a0i325880ns68dvwikcj,1.0,2022-04-20 21:58:45.771,2022-04-20 21:58:45.978,2.0,,,OPEN,2.5,PICK_UP,422623465.0,2.5,2022-04-22 21:58:45.769,0.0,False,,,,1.0,1,cl284a0i325900ns62gvpuu7n,2022-04-20 21:58:45.771,,,OPEN,0.0
1,17,cl2aisstu05100ns633dz0kq9,5.0,2022-04-22 14:20:49.267,2022-04-22 14:21:14.581,3.0,,,PENDING,4.0,PICK_UP,422765790.0,4.0,2022-04-24 14:20:49.265,0.0,False,,,,2.0,23,cl2aisstv05110ns6i9djs3c5,2022-04-22 14:20:49.267,,,OPEN,0.0
2,17,cl2aisstu05100ns633dz0kq9,5.0,2022-04-22 14:20:49.267,2022-04-22 14:21:14.581,3.0,,,PENDING,4.0,PICK_UP,422765790.0,4.0,2022-04-24 14:20:49.265,0.0,False,,,,2.0,24,cl2ait9xg05760ns6j3uhvx0b,2022-04-22 14:21:11.427,,,PAYMENT_PENDING,0.0
3,17,cl2aisstu05100ns633dz0kq9,5.0,2022-04-22 14:20:49.267,2022-04-22 14:21:14.581,3.0,,,PENDING,4.0,PICK_UP,422765790.0,4.0,2022-04-24 14:20:49.265,0.0,False,,,,2.0,25,cl2aitcd005900ns68y94bvmn,2022-04-22 14:21:14.580,,,PENDING,0.0
4,2,cl285bu2m06680ns665i3oj8b,1.0,2022-04-20 22:28:10.366,2022-04-20 22:28:10.978,2.0,,,OPEN,5.0,PICK_UP,422833105.0,5.0,2022-04-22 22:28:10.364,0.0,False,,,,1.0,2,cl285bu2m06690ns6z67yfwdw,2022-04-20 22:28:10.366,,,OPEN,0.0
5,3,cl285c0af07700ns604mku8po,1.0,2022-04-20 22:28:18.423,2022-04-20 22:28:18.640,2.0,,,OPEN,2.5,PICK_UP,422447647.0,2.5,2022-04-22 22:28:18.419,0.0,False,,,,1.0,3,cl285c0af07710ns64wx124e2,2022-04-20 22:28:18.423,,,OPEN,0.0
6,4,cl285uklv01100ns6yz430lx3,2.0,2022-04-20 22:42:44.563,2022-04-20 22:42:45.024,2.0,,,OPEN,2.5,PICK_UP,422657154.0,2.5,2022-04-22 22:42:44.559,0.0,False,,,,1.0,4,cl285uklw01120ns62qdbfw1x,2022-04-20 22:42:44.564,,,OPEN,0.0
7,5,cl2888ihf17110ns6wz01yygv,1.0,2022-04-20 23:49:34.227,2022-04-20 23:49:41.731,2.0,,,OPEN,4.15,PICK_UP,422325574.0,4.0,2022-04-22 23:49:34.224,0.0,False,,,,1.0,5,cl2888ihf17130ns69mw5m4sr,2022-04-20 23:49:34.227,,,OPEN,0.0
8,6,cl29ilfgh39760ns69e5freqv,2.0,2022-04-21 21:27:19.169,2022-04-21 21:27:19.501,2.0,,,OPEN,2.58,PICK_UP,422588769.0,2.5,2022-04-23 21:27:19.167,0.0,False,,,,1.0,6,cl29ilfgi39780ns6pgjuuoo3,2022-04-21 21:27:19.170,,,OPEN,0.0
9,7,cl29io6eq42380ns6ca7pzpjz,3.0,2022-04-21 21:29:27.410,2022-04-21 21:29:27.724,3.0,,,OPEN,2.75,PICK_UP,422511732.0,2.75,2022-04-23 21:29:27.408,0.0,False,,,,1.0,7,cl29io6eq42410ns6gfs898kl,2022-04-21 21:29:27.410,,,OPEN,0.0
10,30,cl2al8iwk22070ns6c5j0wojx,5.0,2022-04-22 15:29:02.132,2022-04-22 15:29:18.188,3.0,,,PENDING,3.5,PICK_UP,422179062.0,3.5,2022-04-24 15:29:02.129,0.0,False,,,,2.0,59,cl2al8iwk22080ns6psi8ux7x,2022-04-22 15:29:02.132,,,OPEN,0.0
11,30,cl2al8iwk22070ns6c5j0wojx,5.0,2022-04-22 15:29:02.132,2022-04-22 15:29:18.188,3.0,,,PENDING,3.5,PICK_UP,422179062.0,3.5,2022-04-24 15:29:02.129,0.0,False,,,,2.0,60,cl2al8t0022630ns6mqnncabc,2022-04-22 15:29:15.216,,,PAYMENT_PENDING,0.0
12,30,cl2al8iwk22070ns6c5j0wojx,5.0,2022-04-22 15:29:02.132,2022-04-22 15:29:18.188,3.0,,,PENDING,3.5,PICK_UP,422179062.0,3.5,2022-04-24 15:29:02.129,0.0,False,,,,2.0,61,cl2al8vaj22770ns6i5nfzi2d,2022-04-22 15:29:18.187,,,PENDING,0.0
13,8,cl29iojwz43100ns62lwcql6a,3.0,2022-04-21 21:29:44.915,2022-04-21 21:30:12.634,3.0,,,OPEN,4.0,PICK_UP,422456075.0,4.0,2022-04-23 21:29:44.912,0.0,False,,,,1.0,8,cl29iojx043110ns6vpc6f8xm,2022-04-21 21:29:44.916,,,OPEN,0.0
14,25,cl2akx76f16540ns6agboblu4,5.0,2022-04-22 15:20:13.719,2022-04-22 15:20:29.782,3.0,,,PENDING,2.75,PICK_UP,422169637.0,2.75,2022-04-24 15:20:13.717,0.0,False,,,,2.0,44,cl2akx76f16550ns6xjgwn3bf,2022-04-22 15:20:13.719,,,OPEN,0.0
15,25,cl2akx76f16540ns6agboblu4,5.0,2022-04-22 15:20:13.719,2022-04-22 15:20:29.782,3.0,,,PENDING,2.75,PICK_UP,422169637.0,2.75,2022-04-24 15:20:13.717,0.0,False,,,,2.0,45,cl2akxgz617120ns65ijkc6ft,2022-04-22 15:20:26.418,,,PAYMENT_PENDING,0.0
16,25,cl2akx76f16540ns6agboblu4,5.0,2022-04-22 15:20:13.719,2022-04-22 15:20:29.782,3.0,,,PENDING,2.75,PICK_UP,422169637.0,2.75,2022-04-24 15:20:13.717,0.0,False,,,,2.0,46,cl2akxjkl17270ns649yo4cix,2022-04-22 15:20:29.781,,,PENDING,0.0
